"Sender, Recipient, Date 1","Sender, Recipient, Date 2",generated
Sam Houston,J. Pinckney Henderson,0
James Webb,Alc6e La Branche,1
David G. Burnet,Richard G. Dunlap,2
Nathaniel Amory,Richard G. Dunlap,3
David G. Burnet,Richard G. Dunlap,4
T. Dunlap,Richard G. Dunlap,5
Nathaniel Amory,Richard G. Dunlap,6
John Emberson,Albert Sidney Johnston,7
David G. Burnet,Alc6e La Branche,8
David G. Burnet,Alc6e La Branche,9
David G. Burnet,Alc6e La Branche,10
William Scurlock,David G. Burnet,11
William M. Williams,David G. Burnet,12
D. Rowlett,David G. Bumet,13
David G. Burnet,Alc6e La Branche,14
David G. Burnet,Alc6e La Branche,15
David G. Burnet,Alc6e La Branche,16
D. Rowlett,David G. Bumet,17
David G. Burnet,Richard G. Dunlap,18
Abner S. Lipscomb,Alc6e La Branche,19
Joseph Waples,Barnard E. Bee,20
Abner S. Lipscomb,Geo. H. Flood,21
Joseph Waples,Nathaniel Amory,22
Joseph Waples,Geo. H. Flood,23
Joseph Waples,Geo. H. Flood,24
Joseph Waples,Geo. H. Flood,25
James S. Mayfield,Geo. H. Flood,26
James S. Mayfield,Barnard E. Bee,27
James S. Mayfield,Barnard E. Bee,28
Geo. H. Flood,James S. Mayfield,29
James S. Mayfield,Geo. H. Flood,30
Geo. H. Flood,James S. Mayfield,31
James S. Mayfield,Barnard E. Bee,32
James S. Mayfield,Nathaniel Amory,33
Samuel A. Roberts,Barnard E. Bee,34
Samuel A. Roberts,Barnard E. Bee,35
Samuel A. Roberts,Joseph Eve,36
Samuel A. Roberts,Joseph Eve,37
Samuel A. Roberts,Barnard E. Bee,38
Sam Houston,Joseph Eve,39
Sam Houston,A. B. Roman,40
Sam Houston,A. B. Roman,41
Isaac Van Zandt,Anson Jones,42
Joseph Eve,Anson Jones,43
Isaac Van Zandt,Anson Jones,44
J. C. Spencer,Isaac Van Zandt,45
T. Hartley Crawford,Wm. Armstrong,46
R. Jones,W. Davenport and G. Loomis,47
Isaac Van Zandt,Anson Jones,48
Joseph Eve,Anson Jones,49
M. E. Hale,Joseph Eve,50
Anson Jones,Isaac Van Zandt,51
Anson Jones,Joseph Eve,52
Anson Jones,Isaac Van Zandt,53
Wm. Henry Daingerfield,Anson Jones,54
Anson Jones,Isaac Van Zandt,55
Sam Houston,Joseph Eve,56
Joseph Eve,Joseph Waples,57
Copy and sunmiary of instructions United States Department of State,,58
Joseph Eve,June 15 1841,59
Wm. Henry Daingerfield,Anson Jones,60
Joseph Eve,Anson Jones,61
Isaac Van Zandt,Anson Jones,62
Daniel Webster,Isaac Van Zandt,63
Isaac Van Zandt,William S. Archer,64
Isaac Van Zandt,Anson Jones,65
Isaac Van Zandt,Daniel Webster,66
Joseph Eve,Anson Jones,67
Isaac Van Zandt,Anson Jones,68
Isaac Van Zandt,Anson Jones,69
Anson Jones,Joseph Eve,70
Joseph Eve,Anson Jones,71
Reuben M. Potter,A. M. Green,72
A. M. Green,Joseph Eve,73
Isaac Van Zandt,Anson Jones,74
Sam Houston,Joseph Eve,75
Anson Jones,Isaac Van Zandt,76
Anson Jones,Isaac Van Zandt,77
Joseph W. Robertson,Anson Jones,78
Charles H. Raymond,Anson Jones,79
Anson Jones,Joseph Eve,80
Anson Jones,Joseph Eve,81
Anson Jones,Isaac Van Zandt,82
Jesse Benton,Anson Jones,83
Isaac Van Zandt,Anson Jones,84
Petition of Joseph Cooper,the Texan minister 187,85
Anson Jones,Isaac Van Zandt,86
Joseph Eve,President of Texas [Houston],87
Anson Jones,Isaac Van Zandt,88
Isaac Van Zandt,Anson Jones,89
Anson Jones,Isaac Van Zandt,90
Anson Jones,Isaac Van Zandt,91
Isaac Van Zandt,Anson Jones,92
Isaac Van Zandt,Anson Jones,93
J. M. Porter,H. S. Legar^,94
William Armstrong,T. H. Crawford,95
William Armstrong,T. H. Crawford,96
Charles H. Raymond,Anson Jones,97
Isaac Van Zandt,Anson Jones,98
Isaac Van Zandt,Anson Jones,99
Isaac Van Zandt,Anson Jones,100
Anson Jones,Isaac Van Zandt,101
M. C. Hamilton,Jacob Snively,102
Jacob Snively,Geo. W. HUl,103
Isaac Van Zandt,Anson Jones,104
Isaac Van Zandt,Anson Jones,105
Isaac Van Zandt,Anson Jones,106
W. S. Murphy,Anson Jones,107
Anson Jones,Isaac Van Zandt,108
W. S. Murphy,Anson Jones,109
Isaac Van Zandt,Anson Jones,110
Isaac Van Zandt,Anson Jones,111
A. P. Upshur,Isaac Van Zandt,112
Anson Jones,Isaac Van Zandt,113
Anson Jones,J. Pinckney Henderson,114
Anson Jones,W. S. Murphy,115
Isaac Van Zandt,Anson Jones,116
J. H. Brower,Isaac Van Zandt,117
Isaac Van Zandt,A. P. Upshur,118
Anson Jones,Isaac Van 2iandt,119
Anson Jones,Van Zandt and Henderson,120
Isaac Van Zandt,Anson Jones,121
Isaac Van Zandt,Anson Jones,122
Isaac Van Zandt,Anson Jones,123
Isaac Van Zandt,Anson Jones,124
Anson Jones,Isaac Van Zandt,125
Anson Jones,Isaac Van Zandt,126
Anson Jones,Isaac Van Zandt,127
Van Zandt and Henderson,Anson Jones,128
Sam Houston,Van Zandt and Henderson,129
Sam Houston,Van Zandt and Henderson,130
Anson Jones,Van Zandt and Henderson,131
Sam Houston,Van Zandt and Henderson,132
Isaac Van Zandt,Anson Jones,133
Sam Houston,Van Zandt and Henderson,134
Van Zandt and Henderson,Anson Jones,135
Van Zandt and Henderson,Anson Jones,136
Isaac Van Zandt,Anson Jones,137
Van Zandt and Henderson,Anson Jones,138
Isaac Van Zandt,Anson Jones,139
Isaac Van Zandt,Anson Jones,140
Anson Jones,Isaac Van Zandt,141
A. M. Green,Anson Jones,142
Anson Jones,A. M. Green,143
Anson Jones,Charles H. Raymond,144
Anson Jones's reply,Howard *s address 294,145
Anson Jones,Charles H. Raymond,146
Isaac Van Zandt,Anson Jones,147
J. H. Brower,Isaac Van Zandt,148
Isaac Van Zandt,Anson Jones,149
Wm. Wilkins,John C. Calhoun,150
D. Parker,John C. Calhoun,151
R. Jones,the Secretary of War [of the United States],152
R. Jones,Zachary Taylor,153
Zachary Taylor,AdjutantrGeneral [R. Jones],154
G. Loomis,W. W. S. Bliss,155
Isaac Van Zandt,Anson Jones,156
J. H. Brower,Isaac Van Zandt,157
Isaac Van Zandt,Anson Jones,158
Charles H. Raymond,Anson Jones,159
Charles H. Raymond,Anson Jones,160
Charles H. Raymond,Anson Jones,161
Anson Jones,James Reily,162
Anson Jones,Charles H. Raymond,163
Charles H. Raymond,Anson Jones,164
A. J. Donelson,Anson Jones,165
M.S. CucuUu,John C. Spencer,166
Balie Peyton,M. S. CucuUu,167
Charles H. Raymond,Secretary of State of Texas [Jones],168
John C. Calhoun,Charles H. Raymond,169
Charles H. Raymond,John C. Calhoun,170
A. J. Donelson,Anson Jones,171
Anson Jones,A. J. Donelson,172
Ebenezer Allen,A. J. Donelson,173
A. J. Donelson,Ebenezer Allen,174
Charles H. Raymond,the Secretary of State of Texas [Allen],175
John C. Calhoun,Charles H. Raymond,176
Charles H. Raymond,John C. Calhoun,177
Ebenezer Allen,A. J. Donelson,178
Charles H. Raymond,Ebenezer Allen,179
A. J. Donelson,Ebenezer Allen,180
Ebenezer Allen,Charles H. Raymond,181
Charles H. Raymond,Ebenezer Allen,182
Ebenezer Allen,Charles H. Raymond,183
Charles H. Raymond,Ebenezer Allen,184
Ebenezer Allen,Charles H. Raymond,185
A. J. Donelson,Ebenezer Allen,186
Duff Green,A. J. Donelson,187
A. J. Donelson,Ebenezer Allen,188
Ebenezer Allen,A. J. Donelson,189
Charles H. Raymond,Ebenezer Allen,190
John C. Calhoun,Charles H. Raymond,191
Charles H. Raymond,Ebenezer Allen,192
Charles H. Raymond,John C. Calhoun,193
Ashbel Smith,A. J. Donelson,194
Ashbel Smith,Charles H. Raymond,195
Charles H. Raymond,Ebenezer Allen,196
Charles H. Raymond,John C. Calhoun,197
Charles H. Raymond,John C. Calhoun,198
Charles H. Raymond,Ebenezer Allen,199
Charles H. Raymond,Ebenezer Allen,200
Ashbel Smith,Charles H. Raymond,201
Ashbel Smith,Stewart Newell,202
Charles H. Raymond,Ashbel Smith,203
A. J. Donelson,Ebenezer Allen,204
Charles H. Raymond,Ebenezer Allen,205
Charles H. Raymond,Ebenezer Allen,206
Ebenezer Allen,David S. Kaufman,207
Ebenezer Allen,David S. Kaufman,208
Anson Jones,James K. Polk,209
Ebenezer Allen,William D. Lee,210
T. Hartley Crawford,Andrew J. Donelson,211
E. A. Rhodes,Ebenezer Allen,212
J. Y. Mason,E. A. Rhodes,213
